dataset, score
4, -0.296146 
4, -0.294629 
4, -0.292582 
4, -0.286027 
4, -0.284610 
4, -0.283638 
4, -0.282959 
4, -0.281910 
4, -0.281890 
4, -0.279967 
4, -0.278994 
4, -0.277433 
4, -0.277154 
4, -0.276166 
4, -0.265120 
4, -0.264688 
4, -0.262195 
4, -0.261062 
4, -0.254271 
4, -0.254255 
4, -0.253400 
4, -0.251374 
4, -0.249983 
4, -0.243209 
4, -0.238086 
4, -0.226617 
4, -0.221384 
4, -0.218144 
4, -0.204798 
4, -0.196330 
4, -0.191365 
4, -0.183214 
4, -0.168648 
4, -0.164538 
4, -0.156432 
4, -0.153516 
4, -0.138447 
4, -0.090622 
4, -0.079258 
4, 0.000000 
4, 0.000000 
4, 0.000000 
4, 0.075796 
4, 0.306071 
4, -0.956437 

